date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,rain_tomorrow,sin_doy,cos_doy,sin_woy,cos_woy,precipitation_roll3_mean,precipitation_roll3_std,pressure_roll3_mean,pressure_roll3_std,cloud_cover_roll3_mean,cloud_cover_roll3_std
1984-11-22,7.0,0.0,16.0,14.7,10.5,8.3,11.8,98810.0,0.0,1,-0.6084768701151263,0.7935716089521473,-0.5680647467311558,0.8229838658936564,7.8999999999999995,3.7161808352123784,99813.33333333333,934.8974988379201,6.0,1.0000000000000275
1984-11-23,6.0,0.4,22.0,12.9,11.4,8.2,4.6,98560.0,0.0,1,-0.5947266869607633,0.8039279618328214,-0.5680647467311558,0.8229838658936564,7.966666666666666,3.6226141573914696,99113.33333333333,752.3518680334314,6.333333333333333,0.577350269189679
1984-11-24,3.0,3.5,44.0,10.2,10.4,8.0,0.7,99910.0,0.0,1,-0.5808002734538013,0.8140460935082175,-0.5680647467311558,0.8229838658936564,5.699999999999999,5.631163290120407,99093.33333333333,718.2153808805501,5.333333333333333,2.0816659994661437
1984-11-25,3.0,2.7,39.0,9.5,8.0,5.9,1.2,101020.0,0.0,0,-0.5667017562911176,0.8239230057575542,-0.5680647467311558,0.8229838658936564,2.166666666666666,2.122105872319493,99830.0,1231.9496742968283,4.0,1.7320508075688836
1984-11-26,1.0,7.5,62.0,11.8,5.2,0.9,0.0,102260.0,0.0,1,-0.5524353131676194,0.83355577183857,-0.46472317204376834,0.8854560256532098,0.6333333333333327,0.6027713773337403,101063.33333333333,1175.59913802852,2.3333333333333335,1.1547005383792481
1984-11-27,8.0,0.0,15.0,13.6,6.8,1.7,0.4,101980.0,0.0,1,-0.5380051715382999,0.8429415373547826,-0.46472317204376834,0.8854560256532098,0.5333333333333328,0.6110100926603507,101753.33333333333,650.333247907105,4.0,3.6055512754639927
1984-11-28,5.0,4.1,45.0,12.5,11.4,9.3,1.4,101150.0,0.0,1,-0.5234156073655502,0.8520775211013092,-0.46472317204376834,0.8854560256532098,0.5999999999999994,0.721110255092437,101796.66666666667,577.263660153148,4.666666666666667,3.511884584284251
1984-11-29,5.0,0.1,17.0,13.7,11.1,9.7,0.2,101000.0,0.0,1,-0.5086709438521049,0.860961015888994,-0.46472317204376834,0.8854560256532098,0.6666666666666661,0.642910050732461,101376.66666666667,527.8573039500469,6.0,1.7320508075688943
1984-11-30,5.0,2.9,38.0,13.6,10.8,8.0,4.1,100050.0,0.0,1,-0.4937755501599773,0.8695893893466108,-0.46472317204376834,0.8854560256532098,1.8999999999999992,1.9974984355437004,100733.33333333333,596.5176722725085,5.0,0.0
1984-12-01,6.0,0.7,21.0,9.1,11.2,8.8,0.4,99820.0,0.0,1,-0.478733840115789,0.8779600847008877,-0.46472317204376834,0.8854560256532098,1.5666666666666658,2.196208854670441,100290.0,625.5397669213982,5.333333333333333,0.5773502691896657
